"Numer próbki";"HB";"HV";"Rm [MPa]";"Wydłużenie [%] A5";"Naprężenie rozciągające przy granicy plastyczności (przesunięcie 0,2) R0,2";"Moduł Younga E [GPa]";"Udarność z nacięciem U (Temp. pokojowa)";"Praca KV20 z nacięciem U (Temp. pokojowa)";"Udarność z nacięciem U (Temp. -20C)";"Praca KV20 z nacięciem U (Temp. -20C)";"Udarność bez nacięcia (Temp. pokojowa)";"Praca KV20 bez nacięcia (Temp. pokojowa)";"Udarność bez nacięcia (Temp. -20C)";"Praca KV20 bez nacięcia (Temp. -20C)"
1;205;153;399;0,8;334;178;12,8;6,4;8,6;4,3;51,5;52,1;39,3;39,9
2;190;162;386;0,6;380;101;11,1;5,5;7,3;3,6;28,1;28,2;53,3;53,4
3;172;182;485;5;340;179;11,1;5,5;12,3;6,1;36,4;36,6;40,8;40,8
4;159;173;195;0,6;165;98;13,1;6,5;7,6;3,8;64,1;64,4;43,8;44
5;172;195;183;0,6;159;98;11,2;5,6;6,6;3,3;55,4;55,6;59,3;59,5
6;170;170;410;0,8;372;168;12,6;5,5;8,8;3,7;62,7;63;35;35,1
7;173;176;397;0,6;321;171;12,6;6,4;7,6;4,2;44,9;45;22,9;23
8;190;149;456;0,8;367;180;12,7;5,5;11,2;6,2;28,8;28,9;19,8;19,9
9;201;166;492;5;370;184;12,2;5,6;7,4;6,1;31,1;31,2;23,1;23,2
10;164;164;394;0,8;372;157;13,2;6,4;11,3;4,3;34,2;48,5;37,4;38,9
11;173;166;448;0,8;376;175;11,2;5,5;8,9;3,8;41,4;62,1;48,3;52,1
12;160;180;379;0,8;343;147;13,1;5,6;7,3;3,5;48,5;29,1;36,6;40,7
13;203;173;474;5;389;174;12,1;5,4;8,8;3,2;52,6;37,8;39,9;43
14;190;159;385;0,6;320;143;11,8;6,3;11,2;4,3;39,5;49,6;42,8;56,5
15;198;184;468;0,6;370;181;12,2;6,1;9,5;4,3;50,2;50,3;54,8;35
